;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
0;子;child,sign of the rat,11PM-1AM,first sign of Chinese zodiac;こ;し;1;2.41167365;2.41167365;N4;2;K;p4
1;介;jammed in,shellfish,mediate,concern oneself with;;かい;2;4.28214717;1.87047352;N1;35;K;p4
2;陽;sunshine,yang principle,positive,male,heaven,daytime;ひ;よう;3;6.14301694;1.86086976;N4;2;K;p4
3;花;flower;はな;か;4;7.93666038;1.7936434399999999;N5;4;K;p4
4;村;village,town;むら;そん;5;9.7110963;1.7744359200000002;N5;4;K;p4
5;中;in,inside,middle,mean,center;なか;ちゅう;6;11.36011841;1.64902211;N5;2;K;p4
6;里;ri,village,parent's home,league;さと;り;7;12.72780684;1.36768843;;-1;K;p4
7;千;thousand;ち;せん;8;14.07063848;1.34283164;N5;2;K;p4
8;枝;bough,branch,twig,limb,counter for branches;えだ;し;9;15.40556114;1.33492266;N4;34;K;p4
9;人;person;ひと;じん;10;16.55123324;1.14567209;N5;1;K;p4
10;一;one,one radical (no.1);ひと;いち;11;17.66809405;1.11686081;N5;1;K;p4
11;島;island;しま;とう;12;18.78213023;1.11403618;N4;12;K;p4
12;直;straightaway,honesty,frankness,fix,repair;ただちに;ちょく;13;19.81199227;1.02986204;N3;22;K;p4
13;雪;snow;ゆき;せつ;13;20.84185432;1.02986204;N5;7;K;p4
14;堂;public chamber,hall;;どう;15;21.81126917;0.96941485;;-1;K;p4
15;斗;Big Dipper,ten sho (vol),sake dipper,dots and cross radical (no. 68);;と;16;22.76204142;0.95077226;;-1;K;p4
16;二;two,two radical (no. 7);ふた;に;17;23.69304123;0.93099981;N5;1;K;p4
17;何;what;なに;か;18;24.56867818;0.87563696;N5;5;K;p4
18;分;part,minute of time,segment,share,degree,one's lot,duty,understand,know,rate,1%,chances,shaku,100;わける;ぶん;19;25.44375021;0.87507203;N3;3;K;p4
19;天;heavens,sky,imperial;あまつ;てん;20;26.3137379;0.86998768;N4;20;K;p4
20;今;now;いま;こん;21;27.17977109;0.8660332;N5;3;K;p4
21;事;matter,thing,fact,business,reason,possibly;こと;じ;22;28.03959009;0.859819;N3;9;K;p4
22;完;perfect,completion,end;;かん;23;28.89488967;0.85529958;N3;14;K;p4
23;白;white;しろ;はく;24;29.73154666;0.83665699;N5;2;K;p4
24;城;castle;しろ;じょう;25;30.56537901;0.83383235;N3;23;K;p4
25;日;day,sun,Japan,counter for days;ひ;にち;26;31.37830906;0.81293005;N4;2;K;p4
26;鐘;bell,gong,chimes;かね;しょう;27;32.16468754;0.78637848;N2;45;K;p4
27;菜;vegetable,side dish,greens;な;さい;28;32.92225474;0.7575672;;-1;K;p4
28;言;say,word;いう;げん;29;33.66682861;0.74457388;N5;12;K;p4
29;気;spirit,mind,air,atmosphere,mood;いき;き;30;34.38598077;0.71915216;N4;4;K;p4
30;見;see,hopes,chances,idea,opinion,look at,visible;みる;けん;31;35.09778888;0.71180811;N5;22;K;p4
31;小;little,small;ちいさい;しょう;32;35.79151931;0.69373044;N5;24;K;p4
32;久;long time,old story;ひさしい;きゅう;33;36.47621092;0.68469161;N1;32;K;p4
33;出;exit,leave,go out,come out,put out,protrude;でる;しゅつ;34;37.1603376;0.68412668;N3;30;K;p4
34;巽;southeast;たつみ;そん;35;37.82751647;0.66717887;;-1;K;p4
35;川;stream,river,river or three-stroke river radical (no. 47);かわ;せん;36;38.48057216;0.65305569;N5;1;K;p4
36;上;above,up;うえ;じょう;37;39.12402409;0.64345193;N5;1;K;p4
37;前;in front,before;まえ;ぜん;38;39.75052821;0.62650412;N5;4;K;p4
38;郎;son,counter for sons;おとこ;ろう;39;40.36516886;0.61464065;;-1;K;p4
39;慈;mercy;いつくしむ;じ;40;40.97416024;0.60899138;;-1;K;p4
40;太;plump,thick,big around;ふとい;たい;41;41.55490526;0.58074503;N3;12;K;p4
41;生;life,genuine,birth;いきる;せい;42;42.1254816;0.57057634;N3;3;K;p4
42;先;before,ahead,previous,future,precedence;さき;せん;43;42.69210345;0.56662185;N5;4;K;p4
43;大;large,big;おお;だい;44;43.25816037;0.56605692;N5;5;K;p4
44;行;going,journey,carry out,conduct,act,line,row,bank;いく;こう;45;43.80670455;0.54854418;N3;12;K;p4
45;思;think;おもう;し;46;44.34733976;0.5406352;N4;6;K;p4
46;私;private,I,me;わたくし;し;47;44.86481295;0.51747319;N5;6;K;p4
47;実;reality,truth,seed,fruit,nut;み;じつ;48;45.37098761;0.50617465;N1;9;K;p4
48;後;behind,back,later;のち;ご;49;45.86868835;0.49770075;N5;6;K;p4
49;来;come,due,next,cause,become;くる;らい;50;46.35735027;0.48866191;N5;7;K;p4
50;遼;distant;;りょう;51;46.81211656;0.45476629;;-1;K;p4
51;結;tie,bind,contract,join,organize,do up hair,fasten;むすぶ;けつ;52;47.26010372;0.44798716;N5;30;K;p4
52;立;stand up,rise,set up,erect;たつ;りつ;53;47.6979222;0.43781848;N5;2;K;p4
53;音;sound,noise;おと;おん;54;48.11088388;0.41296169;N4;5;K;p4
54;手;hand;て;しゅ;55;48.51989108;0.4090072;N5;2;K;p4
55;無;nothingness,none,ain't,nothing,nil,not;ない;む;56;48.92268408;0.402793;N3;17;K;p4
56;条;article,clause,counter for articles,twig,item,stripe,streak;えだ;じょう;57;49.32491215;0.40222807;N3;33;K;p4
57;話;tale,talk;はなす;わ;58;49.72431559;0.39940344;N5;10;K;p4
58;原;meadow,original,primitive,field,plain,prairie,tundra,wilderness;はら;げん;59;50.1231541;0.39883851;N4;17;K;p4
59;目;eye,class,look,insight,experience,care,favor;め;もく;60;50.51747319;0.39431909;N5;2;K;p4
60;輩;comrade,fellow,people,companions;ばら;はい;61;50.90331838;0.38584519;;-1;K;p4
61;部;section,bureau,dept,class,copy,part,portion,counter for copies of a newspaper or magazine;べ;ぶ;62;51.28520908;0.3818907;N1;9;K;p4
62;自;oneself;みずから;じ;63;51.66596992;0.38076084;N5;10;K;p4
63;長;long,leader,superior,senior;ながい;ちょう;64;52.04051657;0.37454665;N1;15;K;p4
64;綾;design,figured cloth,twill;あや;りん;65;52.41449829;0.37398172;;-1;K;p4
65;間;interval,space;あいだ;かん;65;52.78848001;0.37398172;N3;8;K;p4
66;足;leg,foot,be sufficient,counter for pairs of footwear;あし;そく;67;53.15455275;0.36607274;N5;4;K;p4
67;田;rice field,rice paddy;た;でん;68;53.48898957;0.33443682;N3;2;K;p4
68;俺;I,myself;おれ;えん;69;53.81947191;0.33048233;N1;44;K;p4
69;鳴;chirp,cry,bark,sound,ring,echo,honk;なく;めい;70;54.14769453;0.32822263;N5;10;K;p4
70;時;time,hour;とき;じ;71;54.4663134;0.31861887;N3;7;K;p4
71;帰;homecoming,arrive at,lead to,result in;かえる;き;72;54.77871807;0.31240467;N5;15;K;p4
72;知;know,wisdom;しる;ち;72;55.09112274;0.31240467;N3;17;K;p4
73;廣;broad,wide,spacious;ひろい;こう;74;55.4012677;0.31014496;N3;18;K;p4
74;放;set free,release,fire,shoot,emit,banish,liberate;はなす;ほう;75;55.70802309;0.3067554;N3;11;K;p4
75;瀬;rapids,current,torrent,shallows,shoal;せ;らい;76;56.00856429;0.3005412;;-1;K;p4
76;永;eternity,long,lengthy;ながい;えい;77;56.30684579;0.29828149;N3;32;K;p4
77;松;pine tree;まつ;しょう;78;56.6034325;0.29658671;N3;14;K;p4
78;入;enter,insert;いる;にゅう;79;56.89832443;0.29489193;N4;5;K;p4
79;家;house,home,family,professional,expert,performer;いえ;か;80;57.17909318;0.28076875;N5;12;K;p4
80;海;sea,ocean;うみ;かい;81;57.45138803;0.27229485;N5;6;K;p4
81;老;old man,old age,grow old;おいる;ろう;82;57.72255302;0.27116499;N3;11;K;p4
82;透;transparent,permeate,filter,penetrate;すく;とう;82;57.99371801;0.27116499;N2;40;K;p4
83;方;direction,person,alternative;かた;ほう;84;58.26431808;0.27060007;N3;3;K;p4
84;沢;swamp,marsh,brilliance,grace;さわ;たく;85;58.53209351;0.26777543;N5;23;K;p4
85;紀;chronicle,account,narrative,history,annals,geologic period;;き;86;58.7970443;0.26495079;N2;23;K;p4
86;合;fit,suit,join,0.1;あう;ごう;87;59.06143017;0.26438587;N3;14;K;p4
87;霧;fog,mist;きり;む;88;59.32468618;0.26325601;N3;47;K;p4
88;過;overdo,exceed,go beyond,error;すぎる;か;89;59.58003322;0.25534703;N3;22;K;p4
89;校;exam,school,printing,proof,correction;;こう;90;59.83199069;0.25195747;N1;30;K;p4
90;課;chapter,lesson,section,department,division,counter for chapters (of a book);;か;91;60.0805586;0.24856791;N4;13;K;p4
91;聞;hear,ask,listen;きく;ぶん;92;60.32856158;0.24800298;N5;10;K;p4
92;僕;me,I (male),servant,manservant;しもべ;ぼく;93;60.57204515;0.24348357;N4;12;K;p4
93;学;study,learning,science;まなぶ;がく;93;60.81552872;0.24348357;N5;7;K;p4
94;笑;laugh;わらう;しょう;93;61.05901228;0.24348357;N3;18;K;p4
95;西;west,Spain;にし;せい;96;61.29797643;0.23896415;N5;5;K;p4
96;秀;excel,excellence,beauty,surpass;ひいでる;しゅう;97;61.53468087;0.23670444;;-1;K;p4
97;感;emotion,feeling,sensation;;かん;98;61.76347634;0.22879546;N3;13;K;p4
98;意;idea,mind,heart,taste,thought,desire,care,liking;;い;99;61.98888224;0.2254059;N5;11;K;p4
99;夜;night,evening;よ;や;100;62.21259335;0.22371112;N5;6;K;p4
100;輔;help;たすける;ほ;100;62.43630447;0.22371112;N3;8;K;p4
101;尚;esteem,furthermore,still,yet;なお;しょう;102;62.65493125;0.21862678;N1;54;K;p4
102;本;book,present,main,origin,true,real,counter for long cylindrical things;もと;ほん;102;62.87355802;0.21862678;N5;2;K;p4
103;全;whole,entire,all,complete,fulfill;まったく;ぜん;104;63.08879524;0.21523721;N5;9;K;p4
104;当;hit,right,appropriate,himself;あたる;とう;105;63.29951303;0.2107178;N3;8;K;p4
105;楽;music,comfort,ease;たのしい;がく;106;63.50684127;0.20732823;N3;8;K;p4
106;心;heart,mind,spirit,heart radical (no. 61);こころ;しん;107;63.70739038;0.20054911;N4;3;K;p4
107;少;few,little;すくない;しょう;108;63.90737456;0.19998418;N3;4;K;p4
108;味;flavor,taste;あじ;み;109;64.10566396;0.1982894;N4;11;K;p4
109;件;affair,case,matter,item;くだん;けん;110;64.29999887;0.19433491;;-1;K;p4
110;誰;who,someone,somebody;だれ;すい;111;64.49320393;0.19320506;N5;43;K;p4
111;食;eat,food;くう;しょく;112;64.68527913;0.1920752;N5;17;K;p4
112;違;difference,differ;ちがう;い;113;64.87678941;0.19151028;N5;24;K;p4
113;緒;thong,beginning,inception,end,cord,strap,mental or emotional state;お;しょ;114;65.06321534;0.18642593;;-1;K;p4
