;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
240;240;名;name,noted,distinguished,reputation;な;めい;241;80.02813337;0.07739501;N3;4;K;p4
241;241;現;present,existing,actual;あらわれる;げん;241;80.10552838;0.07739501;N3;23;K;p4
242;242;残;remainder,leftover,balance;のこる;ざん;243;80.18235846;0.07683008;N4;14;K;p4
243;243;覚;memorize,learn,remember,awake,sober up;おぼえる;かく;244;80.25805868;0.07570023;N5;19;K;p4
244;244;四;four;よ;し;245;80.33319398;0.0751353;N5;2;K;p4
245;245;引;pull,tug,jerk,admit,install,quote,refer to;ひく;いん;245;80.40832928;0.0751353;N5;3;K;p4
246;246;急;hurry,emergency,sudden,steep;いそぐ;きゅう;245;80.48346458;0.0751353;N4;16;K;p4
247;247;由;wherefore,a reason;よし;ゆ;245;80.55859988;0.0751353;N2;41;K;p4
248;248;兄;elder brother,big brother;あに;けい;249;80.63317026;0.07457037;N5;5;K;p4
249;249;業;business,vocation,arts,performance;わざ;ぎょう;249;80.70774063;0.07457037;;-1;K;p4
250;250;他;other,another,the others;ほか;た;251;80.78174608;0.07400545;N5;4;K;p4
251;251;旅;trip,travel;たび;りょ;252;80.8551866;0.07344052;N3;12;K;p4
252;252;正;correct,justice,righteous,10**40;ただしい;せい;253;80.92806219;0.07287559;N3;6;K;p4
253;253;対;vis-a-vis,opposite,even,equal,versus,anti-,compare;あいて;たい;254;81.00037285;0.07231066;N3;24;K;p4
254;254;準;semi-,correspond to,proportionate to,conform,imitate;じゅんじる;じゅん;254;81.07268352;0.07231066;N3;23;K;p4
255;255;集;gather,meet,congregate,swarm,flock;あつまる;しゅう;254;81.14499418;0.07231066;N3;19;K;p4
256;256;員;employee,member,number,the one in charge;;いん;257;81.21617499;0.07118081;;-1;K;p4
257;257;問;question,ask,problem;とう;もん;257;81.2873558;0.07118081;N5;13;K;p4
258;258;声;voice;こえ;せい;257;81.35853661;0.07118081;N5;5;K;p4
259;259;数;number,strength,fate,law,figures;かず;すう;260;81.42802264;0.06948603;N3;8;K;p4
260;260;演;performance,act,play,render,stage;;えん;260;81.49750867;0.06948603;N3;38;K;p4
261;261;身;somebody,person,one's station in life;み;しん;260;81.56699470000001;0.06948603;N3;8;K;p4
262;262;忘;forget;わすれる;ぼう;263;81.63535088;0.06835618;N5;18;K;p4
263;263;救;salvation,save,help,rescue,reclaim;すくう;きゅう;263;81.70370705;0.06835618;N3;8;K;p4
264;264;題;topic,subject;;だい;263;81.77206323;0.06835618;;-1;K;p4
265;265;送;escort,send;おくる;そう;266;81.83985447;0.06779125;N4;9;K;p4
266;266;定;determine,fix,establish,decide;さだめる;てい;267;81.9070808;0.06722632;N1;21;K;p4
267;267;空;empty,sky,void,vacant,vacuum;そら;くう;267;81.97430712;0.06722632;N5;5;K;p4
268;268;勝;victory,win,prevail,excel;かつ;しょう;269;82.04040358;0.06609647;N4;9;K;p4
269;269;多;many,frequent,much;おおい;た;270;82.10593512;0.06553154;N5;5;K;p4
270;270;泣;cry,weep,moan;なく;きゅう;270;82.17146666;0.06553154;N4;15;K;p4
271;271;怖;dreadful,be frightened,fearful;こわい;ふ;272;82.23586835;0.06440169;N4;29;K;p4
272;272;誘;entice,lead,tempt,invite,ask,call for,seduce,allure;さそう;ゆう;272;82.30027004;0.06440169;N3;27;K;p4
273;273;恥;shame,dishonor;はじる;ち;274;82.36410679;0.06383676;N1;35;K;p4
274;274;内;inside,within,between,among,house,home;うち;ない;275;82.4268137;0.0627069;N4;3;K;p4
275;275;受;accept,undergo,answer (phone),take,get,catch,receive;うける;じゅ;275;82.48952059999999;0.0627069;N4;29;K;p4
