;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
1000;1000;堅;strict,hard,solid,tough,tight,reliable;かたい;けん;995;98.18262962;0.00564927;N4;14;K;p4
1001;1001;境;boundary,border,region;さかい;きょう;995;98.18827889;0.00564927;N3;24;K;p4
1002;1002;妻;wife,spouse;つま;さい;995;98.19392816;0.00564927;N4;20;K;p4
1003;1003;巡;patrol,go around,circumference;めぐる;じゅん;995;98.19957743;0.00564927;N2;40;K;p4
1004;1004;干;dry,parch,ebb,recede,interfere,intercede;ほす;かん;995;98.20522671;0.00564927;N2;17;K;p4
1005;1005;幾;how many,how much,how far,how long,some,several;いく;き;995;98.21087598;0.00564927;N5;31;K;p4
1006;1006;建;build;たてる;けん;995;98.21652525;0.00564927;N3;21;K;p4
1007;1007;抗;confront,resist,defy,oppose;あらがう;こう;995;98.22217452;0.00564927;;-1;K;p4
1008;1008;模;imitation,copy,mock;;も;995;98.22782379;0.00564927;N3;25;K;p4
1009;1009;比;compare,race,ratio,Philippines;くらべる;ひ;995;98.23347306;0.00564927;N3;45;K;p4
1010;1010;潜;submerge,conceal,hide,lower (voice),hush;ひそむ;せん;995;98.23912233;0.00564927;N1;41;K;p4
1011;1011;激;violent,get excited,enraged,chafe,incite;はげしい;げき;995;98.24477159999999;0.00564927;N3;26;K;p4
1012;1012;牲;animal sacrifice,offering;;せい;995;98.25042087;0.00564927;;-1;K;p4
1013;1013;犠;sacrifice;いけにえ;ぎ;995;98.25607014;0.00564927;N1;52;K;p4
1014;1014;班;squad,corps,unit,group;;はん;995;98.26171941;0.00564927;N1;48;K;p4
1015;1015;皇;emperor;;こう;995;98.26736868;0.00564927;;-1;K;p4
1016;1016;眩;faint,dizzy;げんす;げん;995;98.27301795;0.00564927;N4;35;K;p4
1017;1017;磨;grind,polish,scour,improve,brush (teeth);みがく;ま;995;98.27866722;0.00564927;N5;45;K;p4
1018;1018;礎;cornerstone,foundation stone;いしずえ;そ;995;98.28431649;0.00564927;;-1;K;p4
1019;1019;祝;celebrate,congratulate;いわう;しゅく;995;98.28996577;0.00564927;N2;24;K;p4
1020;1020;福;blessing,fortune,luck,wealth;;ふく;995;98.29561504;0.00564927;N1;39;K;p4
1021;1021;積;volume,product (x*y),acreage,contents,pile up,stack,load,amass;つむ;せき;995;98.30126431;0.00564927;N3;29;K;p4
1022;1022;給;salary,wage,gift,allow,grant,bestow on;たまう;きゅう;995;98.30691358;0.00564927;N2;27;K;p4
1023;1023;縁;affinity,relation,connection,edge,border,verge,brink;ふち;えん;995;98.31256285;0.00564927;N3;44;K;p4
1024;1024;葛;arrowroot,kudzu;つづら;かつ;995;98.31821212;0.00564927;;-1;K;p4
