;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
1042;1042;孤;orphan,alone;;こ;1034;98.41424972;0.00508434;N1;52;K;p4
1014;1014;班;squad,corps,unit,group;;はん;995;98.26171941;0.00564927;N1;48;K;p4
1700;1700;楯;shield,buckler,pretext;たて;じゅん;1627;99.93955279999999;0.00056493;N1;48;K;p4
785;785;脅;threaten,coerce;おびやかす;きょう;771;96.48502378;0.01073361;N1;48;K;p4
1369;1369;儲;be profitable,yield profit;もうける;ちょ;1367;99.54862327;0.00169478;N1;48;K;p4
1426;1426;没;drown,sink,hide,fall into,disappear,die;おぼれる;ぼつ;1367;99.64522579999999;0.00169478;N1;52;K;p4
63;63;長;long,leader,superior,senior;ながい;ちょう;64;52.04051657;0.37454665;N1;15;K;p4
1219;1219;貫;pierce,8 1,3lbs,penetrate,brace;つらぬく;かん;1184;99.16616765;0.00338956;N1;52;K;p4
1757;1757;膜;membrane;;まく;1627;99.97175365;0.00056493;N1;57;K;p4
324;324;状;status quo,conditions,circumstances,form,appearance;;じょう;323;85.28252003;0.05253822;N1;13;K;p4
1724;1724;畜;livestock,domestic fowl and animals;;ちく;1627;99.95311105;0.00056493;N1;48;K;p4
1684;1684;敢;daring,brave,bold,sad,tragic,pitiful;あえて;かん;1627;99.93051397;0.00056493;N1;57;K;p4
1013;1013;犠;sacrifice;いけにえ;ぎ;995;98.25607014;0.00564927;N1;52;K;p4
865;865;遂;consummate,accomplish,attain,commit (suicide);とげる;すい;853;97.24428576;0.00847391;N1;50;K;p4
1605;1605;遮;intercept,interrupt,obstruct;さえぎる;しゃ;1476;99.87458619;0.00112985;N1;57;K;p4
368;368;構;posture,build,pretend;かまえる;こう;368;87.36032178;0.04293446;N1;27;K;p4
1295;1295;侮;scorn,despise,make light of,contempt;あなどる;ぶ;1294;99.38366457;0.00225971;N1;59;K;p4
726;726;移;shift,move,change,drift,catch (cold,pass into;うつる;い;717;95.80880608;0.0124284;N1;28;K;p4
642;642;第;No.,residence;;だい;636;94.63488764;0.01581796;N1;51;K;p4
1353;1353;脂;fat,grease,tallow,lard,rosin,gum,tar;あぶら;し;1294;99.51472765;0.00225971;N1;51;K;p4
1509;1509;崇;adore,respect,revere,worship;あがめる;すう;1476;99.76612019;0.00112985;N1;59;K;p4
1795;1795;鉛;lead;なまり;えん;1627;99.99322088;0.00056493;N1;26;K;p4
856;856;励;encourage,be diligent,inspire;はげむ;れい;853;97.16802061;0.00847391;N1;26;K;p4
1566;1566;紡;spinning;つむぐ;ぼう;1476;99.83052188;0.00112985;N1;59;K;p4
1728;1728;盲;blind,blind man,ignoramus;めくら;もう;1627;99.95537076;0.00056493;N1;57;K;p4
1200;1200;憤;aroused,resent,be indignant,anger;いきどおる;ふん;1184;99.10176596;0.00338956;N1;58;K;p4
234;234;丈;length,ten shaku,measure,Mr.,Ms.,height,stature,all (one has),only,that's all,merely;たけ;じょう;235;79.55867897;0.07852486;N1;15;K;p4
1347;1347;究;research,study;きわめる;きゅう;1294;99.5011694;0.00225971;N1;27;K;p4
1243;1243;戯;frolic,play,sport;たわむれる;ぎ;1229;99.23847831;0.00282464;N1;58;K;p4
1226;1226;領;jurisdiction,dominion,territory,fief,reign;えり;りょう;1184;99.18989458;0.00338956;N1;51;K;p4
707;707;疎;alienate,rough,neglect,shun,sparse,penetrate;うとい;そ;701;95.56814715;0.01299332;N1;56;K;p4
1650;1650;均;level,average;ならす;きん;1627;99.91130645;0.00056493;N1;57;K;p4
1478;1478;偏;partial,side,left-side radical,inclining,biased;かたよる;へん;1476;99.73109472;0.00112985;N1;52;K;p4
1292;1292;麻;hemp,flax,numb;あさ;ま;1229;99.37688544;0.00282464;N1;48;K;p4
715;715;迫;urge,force,imminent,spur on;せまる;はく;701;95.67209373;0.01299332;N1;27;K;p4
836;836;技;skill,art,craft,ability,feat,performance,vocation,arts;わざ;ぎ;832;96.99006858;0.00903883;N1;14;K;p4
1193;1193;壇;podium,stage,rostrum,terrace;;だん;1184;99.07803903;0.00338956;N1;49;K;p4
862;862;憎;hate,detest;にくむ;ぞう;853;97.21886404;0.00847391;N1;49;K;p4
1590;1590;衰;decline,wane,weaken;おとろえる;すい;1476;99.85763838;0.00112985;N1;49;K;p4
1654;1654;壮;robust,manhood,prosperity;さかん;そう;1627;99.91356616;0.00056493;N1;50;K;p4
1425;1425;殊;particularly,especially,exceptionally;こと;しゅ;1367;99.64353102;0.00169478;N1;54;K;p4
1115;1115;粘;sticky,glutinous,greasy,persevere;ねばる;ねん;1084;98.76676421;0.00451942;N1;49;K;p4
1376;1376;区;ward,district;;く;1367;99.56048674;0.00169478;N1;15;K;p4
1495;1495;嚇;menacing,dignity,majesty,threaten;おどす;かく;1476;99.75030224;0.00112985;N1;50;K;p4
1701;1701;概;outline,condition,approximation,generally;おおむね;がい;1627;99.94011773;0.00056493;N1;49;K;p4
1570;1570;繊;slender,fine,thin kimono;;せん;1476;99.8350413;0.00112985;N1;53;K;p4
101;101;尚;esteem,furthermore,still,yet;なお;しょう;102;62.65493125;0.21862678;N1;54;K;p4
1464;1464;謀;conspire,cheat,impose on,plan,devise,scheme,have in mind,deceive;はかる;ぼう;1367;99.70962749;0.00169478;N1;49;K;p4
1283;1283;逸;deviate,idleness,leisure,miss the mark,evade,elude,parry,diverge;それる;いつ;1229;99.35146373;0.00282464;N1;54;K;p4
1240;1240;庫;warehouse,storehouse;くら;こ;1229;99.23000441;0.00282464;N1;28;K;p4
225;225;頑;stubborn,foolish,firmly;かたく;がん;224;78.84065667;0.08191442;N1;14;K;p4
