;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
903;903;慌;disconcerted,be confused,lose one's head;あわてる;こう;898;97.54256725;0.00734405;;-1;K;p4
1189;1189;凝;congeal,freeze,stiff,be absorbed in;こる;ぎょう;1184;99.06448078;0.00338956;;-1;K;p4
1195;1195;層;stratum,social class,layer,story,floor;;そう;1184;99.08481815;0.00338956;;-1;K;p4
1197;1197;庇;protect,shield,defend,eaves,canopy,penthouse,visor;ひさし;ひ;1184;99.09159727;0.00338956;;-1;K;p4
1199;1199;慨;rue,be sad,sigh,lament;;がい;1184;99.0983764;0.00338956;;-1;K;p4
1202;1202;昧;dark,foolish;くらい;まい;1184;99.10854509;0.00338956;;-1;K;p4
1203;1203;暁;daybreak,dawn,in the event;あかつき;ぎょう;1184;99.11193465;0.00338956;;-1;K;p4
1215;1215;般;carrier,carry,all,general,sort,kind;;はん;1184;99.1526094;0.00338956;;-1;K;p4
1216;1216;菌;germ,fungus,bacteria;;きん;1184;99.15599896;0.00338956;;-1;K;p4
1217;1217;託;consign,requesting,entrusting with,pretend,hint;かこつける;たく;1184;99.15938852;0.00338956;;-1;K;p4
1220;1220;辿;follow (road),pursue;たどる;てん;1184;99.16955721;0.00338956;;-1;K;p4
1223;1223;鑑;specimen,take warning from,learn from;かんがみる;かん;1184;99.17972590000001;0.00338956;;-1;K;p4
1225;1225;雫;drop,trickle,dripping,(kokuji);しずく;だ;1184;99.18650502;0.00338956;;-1;K;p4
1227;1227;麗;lovely,beautiful,graceful,resplendent;うるわしい;れい;1184;99.19328415;0.00338956;;-1;K;p4
1232;1232;司;director,official,govt office,rule,administer;つかさどる;し;1229;99.20740732;0.00282464;;-1;K;p4
1233;1233;呟;mutter,grumble,murmur;つぶやく;げん;1229;99.21023196;0.00282464;;-1;K;p4
1242;1242;恩;grace,kindness,goodness,favor,mercy,blessing,benefit;;おん;1229;99.23565368;0.00282464;;-1;K;p4
1246;1246;曖;dark,not clear;くらい;あい;1229;99.24695222;0.00282464;;-1;K;p4
1186;1186;俵;bag,bale,sack,counter for bags;たわら;ひょう;1184;99.05431209;0.00338956;;-1;K;p4
1251;1251;棟;ridgepole,ridge;むね;とう;1229;99.26107540000001;0.00282464;;-1;K;p4
1185;1185;伏;prostrated,bend down,bow,cover,lay (pipes);ふせる;ふく;1184;99.05092253;0.00338956;;-1;K;p4
1183;1183;令;orders,laws,command,decree,good;;れい;1184;99.0441434;0.00338956;;-1;K;p4
