;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
1226;1226;領;jurisdiction,dominion,territory,fief,reign;えり;りょう;1184;99.18989458;0.00338956;N1;51;K;p4
1525;1525;挟;pinch,between;はさむ;きょう;1476;99.78419786;0.00112985;N2;51;K;p4
980;980;洗;wash,inquire into,probe;あらう;せん;958;98.06230016;0.0062142;N5;51;K;p4
278;278;覆;capsize,cover,shade,mantle,be ruined;おおう;ふく;275;82.67764132;0.0627069;N3;51;K;p4
1308;1308;宇;eaves,roof,house,heaven;;う;1294;99.41304078;0.00225971;N3;51;K;p4
717;717;偉;admirable,greatness,remarkable,conceited,famous,excellent;えらい;い;717;95.69695052;0.0124284;N3;51;K;p4
1409;1409;戴;be crowned with,live under (a ruler),receive;いただく;たい;1367;99.61641452;0.00169478;N3;51;K;p4
1353;1353;脂;fat,grease,tallow,lard,rosin,gum,tar;あぶら;し;1294;99.51472765;0.00225971;N1;51;K;p4
642;642;第;No.,residence;;だい;636;94.63488764;0.01581796;N1;51;K;p4
1366;1366;乾;drought,dry,dessicate,drink up,heaven,emperor;かわく;かん;1367;99.54353893;0.00169478;N2;51;K;p4
1695;1695;枯;wither,die,dry up,be seasoned;かれる;こ;1627;99.93672817;0.00056493;N2;51;K;p4
1754;1754;肯;agreement,consent,comply with;がえんじる;こう;1627;99.97005887;0.00056493;N2;51;K;p4
444;444;被;incur,cover,veil,brood over,shelter,wear,put on,be exposed (film),receiving;こうむる;ひ;440;90.14710701;0.03220084;N3;51;K;p4
1601;1601;軒;flats,counter for houses,eaves;のき;けん;1476;99.87006677;0.00112985;N3;51;K;p4
1614;1614;隅;corner,nook;すみ;ぐう;1476;99.88475488;0.00112985;N4;51;K;p4
943;943;玄;mysterious,occultness,black,deep,profound;くろ;げん;925;97.82503079;0.00677912;N5;51;K;p4
1607;1607;郊;outskirts,suburbs,rural area;;こう;1476;99.8768459;0.00112985;N4;51;K;p4
1649;1649;噴;erupt,spout,emit,flush out;ふく;ふん;1627;99.91074152;0.00056493;N2;52;K;p4
476;476;我;ego,I,selfish,our,oneself;われ;が;477;91.11143751;0.02824635;N3;52;K;p4
1013;1013;犠;sacrifice;いけにえ;ぎ;995;98.25607014;0.00564927;N1;52;K;p4
1042;1042;孤;orphan,alone;;こ;1034;98.41424972;0.00508434;N1;52;K;p4
1798;1798;鎖;chain,irons,connection;くさり;さ;1627;99.99491566;0.00056493;N3;52;K;p4
1219;1219;貫;pierce,8 1,3lbs,penetrate,brace;つらぬく;かん;1184;99.16616765;0.00338956;N1;52;K;p4
1426;1426;没;drown,sink,hide,fall into,disappear,die;おぼれる;ぼつ;1367;99.64522579999999;0.00169478;N1;52;K;p4
1478;1478;偏;partial,side,left-side radical,inclining,biased;かたよる;へん;1476;99.73109472;0.00112985;N1;52;K;p4
1560;1560;秩;regularity,salary,order;;ちつ;1476;99.82374275;0.00112985;N1;52;K;p4
1237;1237;寛;tolerant,leniency,generosity,relax,feel at home,be at ease,broadminded;くつろぐ;かん;1229;99.2215305;0.00282464;N1;53;K;p4
1302;1302;召;seduce,call,send for,wear,put on,ride in,buy,eat,drink,catch (cold);めす;しょう;1294;99.39948253;0.00225971;N4;53;K;p4
1070;1070;舗;shop,store,pave;;ほ;1034;98.55661134;0.00508434;N1;53;K;p4
893;893;除;exclude,division (x,3),remove,abolish,cancel,except;のぞく;じょ;870;97.46743195;0.00790898;N3;53;K;p4
1570;1570;繊;slender,fine,thin kimono;;せん;1476;99.8350413;0.00112985;N1;53;K;p4
1079;1079;随;follow,though,notwithstanding,while,during,both,all,obey,submit to,comply,at the mercy of (the waves);まにまに;ずい;1034;98.60237043;0.00508434;N2;53;K;p4
1569;1569;緯;"horizontal,woof,left &amp; right,(parallels of) latitude,prediction";よこいと;い;1476;99.83391144;0.00112985;N2;53;K;p4
1520;1520;惨;wretched,disaster,cruelty,harsh;みじめ;さん;1476;99.77854859;0.00112985;N2;53;K;p4
923;923;頂;place on the head,receive,top of head,top,summit,peak;いただく;ちょう;898;97.68944829;0.00734405;N1;53;K;p4
1518;1518;徐;gradually,slowly,deliberately,gently;おもむろに;じょ;1476;99.77628888;0.00112985;N3;53;K;p4
1283;1283;逸;deviate,idleness,leisure,miss the mark,evade,elude,parry,diverge;それる;いつ;1229;99.35146373;0.00282464;N1;54;K;p4
101;101;尚;esteem,furthermore,still,yet;なお;しょう;102;62.65493125;0.21862678;N1;54;K;p4
1230;1230;卸;wholesale;おろす;しゃ;1229;99.20175805;0.00282464;N2;54;K;p4
329;329;悠;permanence,distant,long time,leisure;;ゆう;329;85.54182155;0.05140836;N2;54;K;p4
734;734;非;un-,mistake,negative,injustice,non-;あらず;ひ;717;95.90823325;0.0124284;N4;54;K;p4
1425;1425;殊;particularly,especially,exceptionally;こと;しゅ;1367;99.64353102;0.00169478;N1;54;K;p4
771;771;冠;crown,best,peerless;かんむり;かん;771;96.33475318;0.01073361;N2;54;K;p4
1171;1171;膨;swell,get fat,thick;ふくらむ;ぼう;1133;98.99725445;0.00395449;N2;54;K;p4
345;345;捕;catch,capture;とらえる;ほ;345;86.3276351;0.04632402;N1;55;K;p4
1655;1655;奉;observance,offer,present,dedicate;たてまつる;ほう;1627;99.91413109;0.00056493;N1;55;K;p4
1447;1447;粗;coarse,rough,rugged;あらい;そ;1367;99.68081621;0.00169478;N3;55;K;p4
1102;1102;是;just so,this,right,justice;これ;ぜ;1084;98.70801180000001;0.00451942;N5;55;K;p4
1779;1779;赴;proceed,get,become,tend;おもむく;ふ;1627;99.98418204;0.00056493;N1;55;K;p4
822;822;旦;daybreak,dawn,morning;あきらか;たん;814;96.85900550000001;0.00960376;N1;55;K;p4
1407;1407;憂;melancholy,grieve,lament,be anxious,sad,unhappy;うれえる;ゆう;1367;99.61302496;0.00169478;N1;55;K;p4
1594;1594;該;above-stated,the said,that specific;;がい;1476;99.86215779999999;0.00112985;N1;55;K;p4
