;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
950;950;講;lecture,club,association;;こう;925;97.87248466;0.00677912;N4;35;K;p4
951;951;貯;savings,store,lay in,keep,wear mustache;ためる;ちょ;925;97.87926379;0.00677912;N3;26;K;p4
952;952;趣;purport,gist,elegance,interest,proceed to,tend,become;おもむき;しゅ;925;97.88604291;0.00677912;N1;43;K;p4
953;953;躍;leap,dance,skip;おどる;やく;925;97.89282204;0.00677912;;-1;K;p4
954;954;鍛;forge,discipline,train;きたえる;たん;925;97.89960116;0.00677912;N1;46;K;p4
955;955;雰;atmosphere,fog;;ふん;925;97.90638029;0.00677912;N3;14;K;p4
956;956;麦;barley,wheat;むぎ;ばく;925;97.91315941;0.00677912;;-1;K;p4
957;957;与;bestow,participate in,give,award,impart,provide,cause,gift,godsend;あたえる;よ;958;97.91937361;0.0062142;N3;25;K;p4
958;958;争;contend,dispute,argue;あらそう;そう;958;97.92558781;0.0062142;N2;11;K;p4
959;959;仮;sham,temporary,interim,assumed (name),informal;かり;か;958;97.931802;0.0062142;N3;47;K;p4
960;960;企;undertake,scheme,design,attempt,plan;くわだてる;き;958;97.9380162;0.0062142;N1;21;K;p4
961;961;借;borrow,rent;かりる;しゃく;958;97.9442304;0.0062142;N5;18;K;p4
962;962;剛;sturdy,strength;;ごう;958;97.9504446;0.0062142;;-1;K;p4
963;963;募;recruit,campaign,gather (contributions),enlist,grow violent;つのる;ぼ;958;97.9566588;0.0062142;N2;37;K;p4
964;964;勤;diligence,become employed,serve;つとめる;きん;958;97.96287299;0.0062142;N5;21;K;p4
965;965;匂;fragrant,stink,glow,insinuate,(kokuji);におう;;958;97.96908719;0.0062142;;-1;K;p4
966;966;印;stamp,seal,mark,imprint,symbol,emblem,trademark,evidence,souvenir,India;しるし;いん;958;97.97530139;0.0062142;N3;26;K;p4
967;967;園;park,garden,yard,farm;その;えん;958;97.98151559;0.0062142;N1;16;K;p4
968;968;央;center,middle;;おう;958;97.98772978;0.0062142;;-1;K;p4
969;969;奪;rob,take by force,snatch away,dispossess,plunder,usurp;うばう;だつ;958;97.99394398;0.0062142;N3;39;K;p4
970;970;季;seasons;;き;958;98.00015818;0.0062142;N4;19;K;p4
971;971;尽;exhaust,use up,run out of,deplete,befriend,serve;つきる;じん;958;98.00637238;0.0062142;N1;50;K;p4
972;972;憩;recess,rest,relax,repose;いこい;けい;958;98.01258658;0.0062142;;-1;K;p4
973;973;戸;door,counter for houses,door radical (no. 63);と;こ;958;98.01880077;0.0062142;N5;3;K;p4
974;974;提;propose,take along,carry in hand;さげる;てい;958;98.02501497;0.0062142;N3;22;K;p4
