;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
915;915;看;watch over,see;みる;かん;898;97.63069588;0.00734405;N2;29;K;p4
1552;1552;炭;charcoal,coal;すみ;たん;1476;99.81470392;0.00112985;N2;41;K;p4
1449;1449;綱;hawser,class (genus),rope,cord,cable;つな;こう;1367;99.68420577;0.00169478;N2;42;K;p4
376;376;和;harmony,Japanese style,peace,soften,Japan;やわらぐ;わ;377;87.69532353;0.04067475;N2;9;K;p4
600;600;因;cause,factor,be associated with,depend on,be limited to;よる;いん;599;93.91968997;0.01807767;N2;41;K;p4
1104;1104;湧;boil,ferment,seethe,uproar,breed;わく;ゆう;1084;98.71705063;0.00451942;N2;60;K;p4
1003;1003;巡;patrol,go around,circumference;めぐる;じゅん;995;98.19957743;0.00564927;N2;40;K;p4
1503;1503;宴;banquet,feast,party;うたげ;えん;1476;99.75934107;0.00112985;N2;29;K;p4
82;82;透;transparent,permeate,filter,penetrate;すく;とう;82;57.99371801;0.27116499;N2;40;K;p4
1366;1366;乾;drought,dry,dessicate,drink up,heaven,emperor;かわく;かん;1367;99.54353893;0.00169478;N2;51;K;p4
1393;1393;孝;filial piety,child's respect;;こう;1367;99.58929802;0.00169478;N2;40;K;p4
1069;1069;繁;luxuriant,thick,overgrown,frequency,complexity,trouble;しげる;はん;1034;98.55152700000001;0.00508434;N2;40;K;p4
1525;1525;挟;pinch,between;はさむ;きょう;1476;99.78419786;0.00112985;N2;51;K;p4
821;821;敷;spread,pave,sit,promulgate;しく;ふ;814;96.84940174;0.00960376;N2;40;K;p4
1637;1637;兼;concurrently,and,beforehand,in advance;かねる;けん;1627;99.90396240000001;0.00056493;N2;40;K;p4
1285;1285;銘;inscription,signature (of artisan);;めい;1229;99.357113;0.00282464;N2;50;K;p4
674;674;童;juvenile,child;わらべ;どう;661;95.11564057;0.0146881;N2;12;K;p4
1137;1137;催;sponsor,hold (a meeting),give (a dinner);もようす;さい;1133;98.86280181;0.00395449;N2;29;K;p4
597;597;響;echo,sound,resound,ring,vibrate;ひびく;きょう;589;93.86545697;0.01864259;N2;25;K;p4
1289;1289;障;hinder,hurt,harm;さわる;しょう;1229;99.36841154;0.00282464;N2;26;K;p4
834;834;展;unfold,expand;;てん;832;96.97199092;0.00903883;N2;24;K;p4
475;475;迷;astray,be perplexed,in doubt,lost,err,illusion;まよう;めい;471;91.08319116;0.02881128;N2;27;K;p4
857;857;包;wrap,pack up,cover,conceal;つつむ;ほう;853;97.17649451;0.00847391;N2;41;K;p4
247;247;由;wherefore,a reason;よし;ゆ;245;80.55859988;0.0751353;N2;41;K;p4
1135;1135;侵;encroach,invade,raid,trespass,violate;おかす;しん;1133;98.85489283;0.00395449;N2;41;K;p4
692;692;拠;foothold,based on,follow,therefore;よる;きょ;690;95.36929282;0.01355825;N2;41;K;p4
1481;1481;儀;ceremony,rule,affair,case,a matter;;ぎ;1476;99.73448428;0.00112985;N2;41;K;p4
745;745;補;supplement,supply,make good,offset,compensate,assistant,learner;おぎなう;ほ;736;96.0387314;0.01186347;N2;25;K;p4
1801;1801;隔;isolate,alternate,distance,separate,gulf;へだてる;かく;1627;99.99661044;0.00056493;N2;49;K;p4
984;984;省;focus,government ministry,conserve;かえりみる;せい;958;98.08715695;0.0062142;N2;29;K;p4
1686;1686;斜;diagonal,slanting,oblique;ななめ;しゃ;1627;99.93164382;0.00056493;N2;48;K;p4
1396;1396;寸;measurement,tenth of a shaku,a little,small;;すん;1367;99.59438237;0.00169478;N2;44;K;p4
510;510;悔;repent,regret;くいる;かい;509;92.00006779;0.02429186;N2;48;K;p4
1431;1431;滝;waterfall,rapids,cascade;たき;ろう;1367;99.65369971;0.00169478;N2;45;K;p4
1429;1429;湿;damp,wet,moist;しめる;しつ;1367;99.65031014;0.00169478;N2;45;K;p4
1167;1167;耐;-proof,enduring;たえる;たい;1133;98.9814365;0.00395449;N2;48;K;p4
1161;1161;溶;melt,dissolve,thaw;とける;よう;1133;98.95770956;0.00395449;N2;48;K;p4
