;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
1074;1074;豪;overpowering,great,powerful,excelling,Australia;えらい;ごう;1034;98.57694872;0.00508434;N3;31;K;p4
643;643;粉;flour,powder,dust;デシメートル;ふん;636;94.65070559;0.01581796;N3;31;K;p4
367;367;似;becoming,resemble,counterfeit,imitate,suitable;にる;じ;368;87.31738733;0.04293446;N4;31;K;p4
975;975;既;previously,already,long ago;すでに;き;958;98.03122917;0.0062142;N3;31;K;p4
641;641;散;scatter,disperse,spend,squander;ちる;さん;636;94.61906968;0.01581796;N5;31;K;p4
574;574;掃;sweep,brush;はく;そう;572;93.42594371;0.01977245;N5;31;K;p4
1039;1039;墓;grave,tomb;はか;ぼ;1034;98.39899669;0.00508434;N3;31;K;p4
938;938;棒;rod,stick,cane,pole,club,line;;ぼう;925;97.79113516;0.00677912;N3;31;K;p4
620;620;驚;wonder,be surprised,frightened,amazed;おどろく;きょう;611;94.27502909;0.01751274;N4;31;K;p4
1270;1270;編;compilation,knit,plait,braid,twist,editing,completed poem,part of a book;あむ;へん;1229;99.31474347;0.00282464;N2;31;K;p4
737;737;帯;sash,belt,obi,zone,region;おびる;たい;736;95.94382365;0.01186347;N3;31;K;p4
622;622;廊;corridor,hall,tower;;ろう;622;94.30892472;0.01694781;N5;31;K;p4
1005;1005;幾;how many,how much,how far,how long,some,several;いく;き;995;98.21087598;0.00564927;N5;31;K;p4
1236;1236;富;wealth,enrich,abundant;とむ;ふ;1229;99.21870587;0.00282464;N1;31;K;p4
1143;1143;孫;grandchild,descendants;まご;そん;1133;98.88652875;0.00395449;N3;31;K;p4
1399;1399;巣;nest,rookery,hive,cobweb,den;す;そう;1367;99.59946671;0.00169478;N3;31;K;p4
516;516;離;detach,separation,disjoin,digress;はなれる;り;509;92.14581897;0.02429186;N3;31;K;p4
420;420;普;universal,wide(ly),generally,Prussia;あまねく;ふ;421;89.34604043;0.03502548;N4;31;K;p4
1494;1494;嘆;sigh,lament,moan,grieve,sigh of admiration;なげく;たん;1476;99.74917238;0.00112985;N1;31;K;p4
202;202;野;plains,field,rustic,civilian life;の;や;202;76.80352966;0.09716746;N5;31;K;p4
930;930;壊;demolition,break,destroy;こわす;かい;925;97.73690217;0.00677912;N4;31;K;p4
1207;1207;泥;mud,mire,adhere to,be attached to;どろ;でい;1184;99.1254929;0.00338956;N3;31;K;p4
1505;1505;尋;inquire,fathom,look for;たずねる;じん;1476;99.76160078;0.00112985;N4;31;K;p4
