;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
1272;1272;縫;sew,stitch,embroider;ぬう;ほう;1229;99.32039274;0.00282464;N2;56;K;p4
1411;1411;拍;clap,beat (music);;はく;1367;99.61980408;0.00169478;N3;56;K;p4
1797;1797;錯;confused,mix,be in disorder;;さく;1627;99.99435073;0.00056493;N1;56;K;p4
902;902;愚;foolish,folly,absurdity,stupid;おろか;ぐ;898;97.5352232;0.00734405;N1;56;K;p4
851;851;飽;sated,tired of,bored,satiate;あきる;ほう;832;97.12565108;0.00903883;N3;56;K;p4
358;358;寂;loneliness,quietly,mellow,mature,death of a priest;さび;じゃく;359;86.92250329999999;0.04462924;N4;56;K;p4
827;827;裁;tailor,judge,decision,cut out (pattern);たつ;さい;814;96.9070243;0.00960376;N2;56;K;p4
1708;1708;洪;deluge,flood,vast;;こう;1627;99.94407222;0.00056493;N1;56;K;p4
999;999;呆;be amazed,disgusted,shocked;ほける;ほう;995;98.17698035;0.00564927;N2;56;K;p4
707;707;疎;alienate,rough,neglect,shun,sparse,penetrate;うとい;そ;701;95.56814715;0.01299332;N1;56;K;p4
1271;1271;縛;truss,arrest,bind,tie,restrain;しばる;ばく;1229;99.3175681;0.00282464;N2;56;K;p4
1799;1799;鎮;tranquilize,ancient peace-preservation centers;しずめる;ちん;1627;99.99548058;0.00056493;N2;57;K;p4
1684;1684;敢;daring,brave,bold,sad,tragic,pitiful;あえて;かん;1627;99.93051397;0.00056493;N1;57;K;p4
1757;1757;膜;membrane;;まく;1627;99.97175365;0.00056493;N1;57;K;p4
1549;1549;漬;pickling,soak,moisten,steep;つける;し;1476;99.81131436;0.00112985;N4;57;K;p4
1605;1605;遮;intercept,interrupt,obstruct;さえぎる;しゃ;1476;99.87458619;0.00112985;N1;57;K;p4
1318;1318;惜;pity,be sparing of,frugal,stingy,regret;おしい;せき;1294;99.43563786;0.00225971;N2;57;K;p4
1728;1728;盲;blind,blind man,ignoramus;めくら;もう;1627;99.95537076;0.00056493;N1;57;K;p4
1650;1650;均;level,average;ならす;きん;1627;99.91130645;0.00056493;N1;57;K;p4
1243;1243;戯;frolic,play,sport;たわむれる;ぎ;1229;99.23847831;0.00282464;N1;58;K;p4
1567;1567;絹;silk;きぬ;けん;1476;99.83165173;0.00112985;N4;58;K;p4
1704;1704;殻;husk,nut shell;から;かく;1627;99.94181251;0.00056493;N2;58;K;p4
1200;1200;憤;aroused,resent,be indignant,anger;いきどおる;ふん;1184;99.10176596;0.00338956;N1;58;K;p4
1566;1566;紡;spinning;つむぐ;ぼう;1476;99.83052188;0.00112985;N1;59;K;p4
1639;1639;凹;concave,hollow,sunken;くぼむ;おう;1627;99.90509225;0.00056493;N2;59;K;p4
1509;1509;崇;adore,respect,revere,worship;あがめる;すう;1476;99.76612019;0.00112985;N1;59;K;p4
905;905;憧;yearn after,long for,aspire to,admire,adore;あこがれる;しょう;898;97.55725536;0.00734405;N2;59;K;p4
1295;1295;侮;scorn,despise,make light of,contempt;あなどる;ぶ;1294;99.38366457;0.00225971;N1;59;K;p4
1793;1793;醜;ugly,unclean,shame,bad looking;みにくい;しゅう;1627;99.99209102;0.00056493;N2;60;K;p4
1104;1104;湧;boil,ferment,seethe,uproar,breed;わく;ゆう;1084;98.71705063;0.00451942;N2;60;K;p4
