;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
28;28;雪子;Name;;29;40.59320844;0.5966196;;-1;V;p4
29;29;です;be,is;です;30;41.18481162;0.59160318;;-1;V;p4
30;30;堂島;Dōjima Rice Exchange;;31;41.74832284;0.56351123;;-1;V;p4
31;31;直;price,cost;あたい;31;42.31183407;0.56351123;N3;22;V;p4
32;32;斗;to,traditional unit of volume, approx. 18 litres;と;33;42.87467644;0.56284237;;44;V;p4
33;33;そう;monk,priest;そう;34;43.38534804;0.5106715999999999;N1;-1;V;p4
34;34;天城;Japanese corvette Amagi;;35;43.8752851;0.48993706;;-1;V;p4
35;35;り;advantage,benefit,profit,interest;り;36;44.36421888;0.48893378;;-1;V;p4
36;36;白;white;しろ;37;44.8310804;0.46686153;N5;2;V;p4
37;37;鐘;bell (often a large hanging bell),chime;かね;38;45.29660422;0.46552381;N2;45;V;p4
38;38;せる;cell;セル;39;45.7534329;0.45682869;;-1;V;p4
39;39;じゃ;then,well,so,well then;じゃあ;40;46.2032386;0.4498057;N5;-1;V;p4
40;40;こと;thing,matter;こと;41;46.65270987;0.44947127;N3;9;V;p4
41;41;完二;Name;;42;47.09984014;0.44713027;;-1;V;p4
42;42;菜々子;Amazing Nurse Nanako;;43;47.54128514;0.441445;;-1;V;p4
43;43;ます;to increase,to grow;ます;44;47.97804814;0.436763;N3;25;V;p4
44;44;けど;but,however,although;けど;45;48.40377502;0.42572688;N4;-1;V;p4
45;45;何;what;なに;46;48.80375094;0.39997592;N3;5;V;p4
46;46;巽;xun (one of the trigrams of the I Ching: wind, southeast);そん;47;49.19871045;0.39495949999999996;;-1;V;p4
47;47;なる;to become,to get,to grow,to be,to reach,to attain;なる;48;49.59099452;0.39228408;N3;11;V;p4
48;48;ある;to be,to exist,to live;ある;49;49.96856377;0.37756924;N3;6;V;p4
