;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
4625;4625;見たところ;in appearance,to look at,judging from appearances;みたところ;3866;97.32256921;0.00100328;;-1;V;p4
4626;4626;見なす;to consider as,to regard (as equivalent),to deem (as),to equate;みなす;3866;97.32357249;0.00100328;;-1;V;p4
4627;4627;見出し;heading,headline,title,caption;みだし;3866;97.32457578;0.00100328;N2;-1;V;p4
4628;4628;見失う;to lose sight of,to miss;みうしなう;3866;97.32557906;0.00100328;;-1;V;p4
4629;4629;見当;estimate,guess,conjecture,aim;けんとう;3866;97.32658235;0.00100328;N3;-1;V;p4
4630;4630;見立てる;to select,to choose;みたてる;3866;97.32758563;0.00100328;;-1;V;p4
4631;4631;見解;opinion,point of view;けんかい;3866;97.32858891;0.00100328;N3;-1;V;p4
4632;4632;見過ごせる;Name;;3866;97.32959220000001;0.00100328;;-1;V;p4
4633;4633;覚ます;to awaken,to arouse from sleep;さます;3866;97.33059548;0.00100328;N3;-1;V;p4
4634;4634;親しみ;intimacy,affection,familiarity;したしみ;3866;97.33159877;0.00100328;;-1;V;p4
4635;4635;親切;kind,gentle,considerate,generous,friendly,nice;しんせつ;3866;97.33260205;0.00100328;N4;10;V;p4
4636;4636;親子;parent and child;おやこ;3866;97.33360533;0.00100328;;-1;V;p4
4637;4637;親孝行;filial piety;おやこうこう;3866;97.33460862;0.00100328;;42;V;p4
4638;4638;観光客;tourist;かんこうきゃく;3866;97.3356119;0.00100328;;24;V;p4
4639;4639;言い張る;to insist,to assert,to be obstinate in saying;いいはる;3866;97.33661519;0.00100328;;-1;V;p4
4640;4640;言わば;so to speak,so to call it,as it were;いわば;3866;97.33761847;0.00100328;N3;-1;V;p4
4641;4641;言語道断;outrageous,preposterous,scandalous,inexcusable,absurd,execrable;ごんごどうだん;3866;97.33862176;0.00100328;;-1;V;p4
4642;4642;記念;commemoration,celebration,honoring the memory of something,turning something into a memento,memory;きねん;3866;97.33962504;0.00100328;N3;-1;V;p4
4643;4643;訪れ;visit,call;おとずれ;3866;97.34062832;0.00100328;;-1;V;p4
4644;4644;訴える;to raise,to bring to (someone's attention);うったえる;3866;97.34163161;0.00100328;N3;25;V;p4
4645;4645;試練;test,trial,probation,ordeal,tribulation;しれん;3866;97.34263489;0.00100328;;-1;V;p4
4646;4646;詰める;to stuff into,to jam,to cram,to pack,to fill,to plug,to stop up;つめる;3866;97.34363818;0.00100328;N3;29;V;p4
4647;4647;話し出す;to begin talking,to open up;はなしだす;3866;97.34464146;0.00100328;;-1;V;p4
4648;4648;話し込む;to be deep in talk;はなしこむ;3866;97.34564474;0.00100328;;-1;V;p4
4649;4649;語;language;ご;3866;97.34664803;0.00100328;N3;-1;V;p4
