;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
1282;1282;殴る;to strike,to hit,to beat,to punch;なぐる;1242;90.05477931;0.00568528;N2;48;V;p4
6167;6167;絶えず;constantly,always,continually,steadily;たえず;4736;98.39039790000001;0.00066886;N2;-1;V;p4
6162;6162;組み立てる;to assemble,to set up,to construct;くみたてる;4736;98.38705362;0.00066886;N2;-1;V;p4
6157;6157;紅葉;autumn colours,fall colors,leaves changing color (colour);こうよう;4736;98.38370934;0.00066886;N2;-1;V;p4
3118;3118;憎い;hateful,abominable,poor-looking,detestable;にくい;2879;95.50428402;0.00167214;N2;49;V;p4
6200;6200;脅かす;to threaten,to menace,to intimidate;おどかす;4736;98.41247015;0.00066886;N2;-1;V;p4
3703;3703;無くす;to lose (something),to mislay;なくす;3290;96.34369837;0.00133771;N2;-1;V;p4
5858;5858;探せる;to feel around for,to fumble for,to grope for,to search for,to look for;さぐる;4736;98.18372138;0.00066886;N2;-1;V;p4
5853;5853;振舞う;to behave,to conduct oneself;ふるまう;4736;98.1803771;0.00066886;N2;-1;V;p4
4450;4450;果たして;as was expected,just as one thought,sure enough;はたして;3866;97.14699449999999;0.00100328;N2;19;V;p4
4330;4330;尖る;to taper to a point,to become pointed,to become sharp;とがる;3866;97.02660041;0.00100328;N2;-1;V;p4
3111;3111;恨み;resentment,grudge,malice,bitterness;うらみ;2879;95.49257904;0.00167214;N2;49;V;p4
2037;2037;基礎;foundation,basis;きそ;1953;93.11078263;0.00300985;N2;49;V;p4
6020;6020;溜まる;to collect,to gather,to save,to accumulate,to pile up;たまる;4736;98.29207606;0.00066886;N2;-1;V;p4
6022;6022;溶け込む;to melt into,to dissolve into,to merge into;とけこむ;4736;98.29341377;0.00066886;N2;-1;V;p4
2641;2641;にる;to boil,to simmer,to stew,to seethe;にる;2574;94.62774816;0.00200657;N2;49;V;p4
2429;2429;勘違い;misunderstanding,mistaken idea,wrong guess;かんちがい;2330;94.1545325;0.002341;N2;49;V;p4
5974;5974;水分;water,liquid,fluid,moisture,humidity,sap,juice;すいぶん;4736;98.26130868;0.00066886;N2;-1;V;p4
10229;10229;訳す;to translate,to interpret;やくす;6483;99.85385495;0.00033443;N2;32;V;p4
1442;1442;にくい;hateful,abominable,poor-looking,detestable;にくい;1421;90.88215425;0.00468199;N2;49;V;p4
5966;5966;毛皮;fur,skin,pelt;けがわ;4736;98.25595784;0.00066886;N2;-1;V;p4
4930;4930;コンクール;competition,contest;コンクール;4736;97.56302296;0.00066886;N2;-1;V;p4
4928;4928;ころがす;to roll;ころがす;4736;97.56168525;0.00066886;N2;-1;V;p4
4388;4388;所々;here and there,some parts (of something),several places;ところどころ;3866;97.08479088;0.00100328;N2;-1;V;p4
4941;4941;さびる;to rust,to become rusty;さびる;4736;97.57038038;0.00066886;N2;-1;V;p4
4944;4944;さようなら;farewell,adieu,goodbye,so long;さようなら;4736;97.57238695;0.00066886;N2;-1;V;p4
4920;4920;こっそり;stealthily,secretly;こっそり;4736;97.5563344;0.00066886;N2;-1;V;p4
4506;4506;災難;calamity,misfortune,disaster;さいなん;3866;97.20317840000001;0.00100328;N2;20;V;p4
4916;4916;コショウ;pepper;こしょう;4736;97.55365898;0.00066886;N2;-1;V;p4
9649;9649;煮る;to boil,to simmer,to stew,to seethe;にる;6483;99.65988670000002;0.00033443;N2;49;V;p4
5864;5864;撫でる;to stroke,to caress,to brush gently,to pat,to rub;なでる;4736;98.18773452;0.00066886;N2;-1;V;p4
774;774;たつ;to stand,to rise,to stand up;たつ;772;86.08411534;0.01103612;N2;2;V;p4
3695;3695;済まない;inexcusable,unjustifiable,unpardonable;すまない;3290;96.33299668;0.00133771;N2;-1;V;p4
6183;6183;羨ましい;envious,jealous;うらやましい;4736;98.4010996;0.00066886;N2;-1;V;p4
9589;9589;溶岩;lava;ようがん;6483;99.63982101;0.00033443;N2;48;V;p4
5554;5554;名詞;noun;めいし;4736;97.98038914;0.00066886;N2;19;V;p4
9326;9326;暴れ;to act violently,to rage,to struggle,to be riotous;あばれる;6483;99.55186644;0.00033443;N2;19;V;p4
5881;5881;日にち;the number of days,date;ひにち;4736;98.19910507;0.00066886;N2;-1;V;p4
5879;5879;方面;direction,district,area;ほうめん;4736;98.19776736;0.00066886;N2;-1;V;p4
1545;1545;暴れる;to act violently,to rage,to struggle,to be riotous;あばれる;1504;91.35001906;0.00434756;N2;19;V;p4
5093;5093;なぐる;to strike,to hit,to beat,to punch;なぐる;4736;97.6720465;0.00066886;N2;48;V;p4
5891;5891;是非とも;"by all means (with sense of not taking ""no"" for an answer)";ぜひとも;4736;98.20579363;0.00066886;N2;-1;V;p4
3685;3685;正面;front,frontage,facade,main;しょうめん;3290;96.31961955;0.00133771;N2;-1;V;p4
6877;6877;くやしい;vexing,annoying,frustrating,regrettable,mortifying;くやしい;6483;98.7328522;0.00033443;N2;48;V;p4
5342;5342;乱暴;violence,assault,running riot;らんぼう;4736;97.83859166;0.00066886;N2;19;V;p4
4355;4355;強気;confident,assured,self-assured,firm,strong,cocksure;つよき;3866;97.05168251;0.00100328;N2;-1;V;p4
5902;5902;書き取り;writing down from other written material,writing kanji text from hiragana;かきとり;4736;98.21315105;0.00066886;N2;-1;V;p4
5871;5871;文房具;stationery;ぶんぼうぐ;4736;98.19241651;0.00066886;N2;-1;V;p4
5869;5869;整う;to be ready,to be prepared,to be arranged;ととのう;4736;98.1910788;0.00066886;N2;-1;V;p4
5868;5868;敬う;to show respect for,to revere,to honour,to honor,to worship,to hold in esteem;うやまう;4736;98.19040994;0.00066886;N2;-1;V;p4
4559;4559;矛盾;contradiction,inconsistency;むじゅん;3866;97.25635246;0.00100328;N2;48;V;p4
2277;2277;混ぜる;to mix,to stir,to blend;まぜる;2125;93.78164525;0.00267542;N2;19;V;p4
5834;5834;押さえる;to pin down,to hold down,to press down;おさえる;4736;98.16766884;0.00066886;N2;-1;V;p4
9566;9566;混ざる;to be mixed,to be blended with,to associate with,to mingle with,to join;まざる;6483;99.63212917;0.00033443;N2;19;V;p4
6252;6252;要領;point,gist,essentials,tenets,outline;ようりょう;4736;98.44725067;0.00066886;N2;-1;V;p4
5443;5443;全般;(the) whole,entirety,wholly,as a whole,generally,universally;ぜんぱん;4736;97.90614612;0.00066886;N2;-1;V;p4
7193;7193;たいそう;gymnastics,physical exercises,calisthenics;たいそう;6483;98.83853146;0.00033443;N2;33;V;p4
9625;9625;無数;innumerable,countless,numberless;むすう;6483;99.65186042;0.00033443;N2;-1;V;p4
9825;9825;着せる;to put clothes on (someone);きせる;6483;99.71874603;0.00033443;N2;-1;V;p4
9832;9832;睨む;to glare at,to scowl at,to glower at;にらむ;6483;99.72108702;0.00033443;N2;-1;V;p4
3732;3732;真っ暗;total darkness,pitch dark;まっくら;3290;96.38249202;0.00133771;N2;-1;V;p4
3731;3731;直後;immediately following;ちょくご;3290;96.38115431;0.00133771;N2;-1;V;p4
9821;9821;眩しい;dazzling,radiant;まぶしい;6483;99.71740832;0.00033443;N2;-1;V;p4
9834;9834;知人;friend,acquaintance;ちじん;6483;99.72175588;0.00033443;N2;-1;V;p4
3730;3730;直前;just before;ちょくぜん;3290;96.3798166;0.00133771;N2;-1;V;p4
9844;9844;破く;to tear,to rip;やぶく;6483;99.72510016;0.00033443;N2;-1;V;p4
9843;9843;砕ける;to break (into pieces),to be broken,to be smashed;くだける;6483;99.72476573;0.00033443;N2;-1;V;p4
9580;9580;測量;measurement,surveying;そくりょう;6483;99.63681116;0.00033443;N2;-1;V;p4
9603;9603;濡らす;to wet,to moisten,to dampen,to soak,to dip;ぬらす;6483;99.64450301;0.00033443;N2;-1;V;p4
9618;9618;焚く;to burn,to kindle,to light (a fire),to make (a fire);たく;6483;99.64951943;0.00033443;N2;-1;V;p4
4297;4297;塞ぐ;to stop up,to close up,to block (up),to plug up,to shut up,to cover (ears, eyes, etc.),to close (eyes, mouth);ふさぐ;3866;96.99349203;0.00100328;N2;-1;V;p4
3222;3222;純粋;pure,true,genuine,unmixed;じゅんすい;2879;95.67818659999999;0.00167214;N2;34;V;p4
5668;5668;安易;easy,simple;あんい;4736;98.05663873;0.00066886;N2;-1;V;p4
2228;2228;外れる;to be disconnected,to get out of place,to be off,to be out (e.g. of gear);はずれる;2125;93.65054947;0.00267542;N2;3;V;p4
