;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
0;0;の;indicates possessive;の;1;3.30247677;3.30247677;;-1;V;p4
6758;6758;かくれんぼ;hide-and-seek (game),hide-and-go-seek;かくれんぼ;6483;98.69305527;0.00033443;;-1;V;p4
6759;6759;がけっぷち;cliff edge,edge of a precipice;がけっぷち;6483;98.6933897;0.00033443;;-1;V;p4
6761;6761;がさ;household search (conducted by the police);ガサ;6483;98.69405855;0.00033443;;-1;V;p4
6762;6762;ガシガシ;boisterously,roughly,briskly;ガシガシ;6483;98.69439298;0.00033443;;-1;V;p4
6763;6763;かしこ;yours sincerely,respectfully yours;かしこ;6483;98.69472741;0.00033443;;-1;V;p4
6756;6756;かくい;everyone,each and every one (of you),ladies and gentlemen;かくい;6483;98.69238641;0.00033443;;-1;V;p4
6764;6764;カジュアル;casual;カジュアル;6483;98.69506184;0.00033443;;-1;V;p4
6766;6766;カズ;melon-headed whale (Peponocephala electra),many-toothed blackfish,electra dolphin;かずはごんどう;6483;98.69573069;0.00033443;;-1;V;p4
6768;6768;カゼ;casein;カゼ;6483;98.69639955;0.00033443;;-1;V;p4
6770;6770;ガタイ;body build;ガタイ;6483;98.6970684;0.00033443;;-1;V;p4
6771;6771;がたい;blastema;がたい;6483;98.69740283;0.00033443;;-1;V;p4
6774;6774;カチン;clink,clack;カチン;6483;98.69840612;0.00033443;;-1;V;p4
6775;6775;カツ;cutlet (usu. crumbed and fried);カツ;6483;98.69874054;0.00033443;;-1;V;p4
6776;6776;がっこ;tsukemono,Japanese pickled vegetables;がっこ;6483;98.69907497;0.00033443;;-1;V;p4
6752;6752;かき;oyster,oyster shell;かき;6483;98.69104870000001;0.00033443;;-1;V;p4
6736;6736;お許し;Name;;6483;98.68569785;0.00033443;;-1;V;p4
6737;6737;お詫び;apology;おわび;6483;98.68603228;0.00033443;;-1;V;p4
6738;6738;お誘い;Name;;6483;98.68636671;0.00033443;;-1;V;p4
6739;6739;お送り;Name;;6483;98.68670114;0.00033443;;-1;V;p4
6740;6740;お隣さん;(next-door) neighbour,neighbor;おとなりさん;6483;98.68703556;0.00033443;;-1;V;p4
6742;6742;ガード;guard;ガード;6483;98.68770442;0.00033443;;-1;V;p4
6745;6745;かいつまむ;to sum up,to summarize,to summarise;かいつまむ;6483;98.68870770000001;0.00033443;;-1;V;p4
6747;6747;カイロ;Cairo;カイロ;6483;98.68937656;0.00033443;;-1;V;p4
6748;6748;カウンセラー;counselor,counsellor;カウンセラー;6483;98.68971099;0.00033443;;-1;V;p4
6749;6749;カウント;count,counting;カウント;6483;98.69004542;0.00033443;;-1;V;p4
6743;6743;カイ;chi;カイ;6483;98.68803885;0.00033443;;-1;V;p4
