;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
2325;2325;頂く;to receive,to get,to accept,to take,to buy;いただく;2125;93.91006561;0.00267542;N3;51;V;p4
3337;3337;かれる;to wither (of a plant),to be blasted,to die;かれる;3290;95.85409574;0.00133771;N2;51;V;p4
6379;6379;郊外;suburb,residential area on the outskirt of a city,commuter belt;こうがい;4736;98.53219539;0.00066886;N4;51;V;p4
1919;1919;玄関;entrance,front door,entryway,entranceway,entry hall,vestibule,porch,foyer,mud room;げんかん;1812;92.74491837;0.00334428;N5;51;V;p4
2135;2135;えらい;great,excellent,admirable,remarkable,distinguished,important,celebrated,famous,eminent;えらい;2125;93.40173501;0.00267542;N2;51;V;p4
2584;2584;エラい;great,excellent,admirable,remarkable,distinguished,important,celebrated,famous,eminent;えらい;2574;94.51337378;0.00200657;N2;51;V;p4
3058;3058;偉い;great,excellent,admirable,remarkable,distinguished,important,celebrated,famous,eminent;えらい;2879;95.40395561;0.00167214;N2;51;V;p4
317;317;覆う;to cover,to hide,to conceal,to wrap,to disguise;おおう;314;77.23815958;0.03678708;N3;51;V;p4
9086;9086;慈愛;affection (esp. parental),love,fondness;じあい;6483;99.47160372;0.00033443;;51;V;p4
6409;6409;隅;corner,nook,recess;すみ;4736;98.55226107;0.00066886;N4;51;V;p4
7499;7499;はさむ;to hold between (e.g. one's fingers, chopsticks),to grip (from both sides);はさむ;6483;98.94086644;0.00033443;N2;51;V;p4
5995;5995;洗濯;washing,laundry;せんたく;4736;98.27535466;0.00066886;N5;51;V;p4
10280;10280;貞操;chastity,virtue,fidelity;ていそう;6483;99.87091078;0.00033443;;51;V;p4
10027;10027;肯定;affirmation;こうてい;6483;99.78630049;0.00033443;N2;51;V;p4
6336;6336;軒;eaves;のき;4736;98.50343458;0.00066886;N3;51;V;p4
9399;9399;枯れる;to wither (of a plant),to be blasted,to die;かれる;6483;99.57627969;0.00033443;N2;51;V;p4
8220;8220;偉大;great,grand,magnificent,outstanding,mighty;いだい;6483;99.18198904;0.00033443;N3;51;V;p4
1420;1420;いただく;to receive,to get,to accept,to take,to buy;いただく;1421;90.77915042;0.00468199;N3;51;V;p4
2585;2585;おおう;to cover,to hide,to conceal,to wrap,to disguise;おおう;2574;94.51538034;0.00200657;N3;51;V;p4
9037;9037;怠る;to be negligent in doing something,to shirk,to be off one's guard;おこたる;6483;99.45521674;0.00033443;N2;52;V;p4
4314;4314;孤立;isolation,being alone,being friendless;こりつ;3866;97.01054786;0.00100328;N1;52;V;p4
332;332;会う;to meet,to encounter,to see;あう;333;77.77257556;0.03411166;N2;52;V;p4
4830;4830;お風呂;bath;おふろ;4736;97.49613736;0.00066886;N5;52;V;p4
3335;3335;ガマン;patience,endurance,perseverance,tolerance,self-control,self-denial;がまん;3290;95.85142032;0.00133771;N3;52;V;p4
