;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
9230;9230;摂理;(divine) providence,dispensation;せつり;6483;99.51976135;0.00033443;;56;V;p4
4573;4573;窮屈;narrow,tight,cramped;きゅうくつ;3866;97.27039844;0.00100328;N1;56;V;p4
7249;7249;だるい;sluggish,languid,listless,heavy (heart, legs, etc.),dull;だるい;6483;98.85725943;0.00033443;N1;56;V;p4
1973;1973;さびしい;lonely,lonesome,solitary,desolate;さびしい;1953;92.91815208;0.00300985;N4;56;V;p4
9159;9159;拍手;clapping hands,applause;はくしゅ;6483;99.49601696;0.00033443;N3;56;V;p4
2163;2163;それる;to turn away,to bear off,to veer away,to swerve from,to miss (e.g. a target);それる;2125;93.47664689;0.00267542;N2;56;V;p4
5769;5769;怠け者;lazy person,lazy fellow,slothful person;なまけもの;4736;98.12419319;0.00066886;;56;V;p4
6175;6175;縫う;to sew,to stitch;ぬう;4736;98.39574875;0.00066886;N2;56;V;p4
1419;1419;飽きる;to get tired of,to lose interest in,to be fed up with,to have enough;あきる;1362;90.77446843;0.00501642;N3;56;V;p4
3757;3757;絞る;to wring (towel, rag),to squeeze;しぼる;3290;96.41593483;0.00133771;N2;56;V;p4
3829;3829;逸れる;to turn away,to bear off,to veer away,to swerve from,to miss (e.g. a target);それる;3290;96.51225009999999;0.00133771;N2;56;V;p4
9542;9542;洪水;flood,flooding;こうずい;6483;99.62410290000001;0.00033443;N1;56;V;p4
2249;2249;愚か;foolish,stupid;おろか;2125;93.70673337;0.00267542;N1;56;V;p4
443;443;寂しい;lonely,lonesome,solitary,desolate;さびしい;443;80.89078249;0.02340996;N4;56;V;p4
8847;8847;尚更;still more,even more,all the more;なおさら;6483;99.39167542;0.00033443;N1;56;V;p4
4053;4053;なおさら;still more,even more,all the more;なおさら;3866;96.74869071;0.00100328;N1;56;V;p4
2716;2716;呆れる;to be amazed,to be shocked,to be astonished,to be astounded,to be disgusted,to be exasperated,to be fed up;あきれる;2574;94.77824077;0.00200657;N2;56;V;p4
10501;10501;錯乱;confusion,distraction,derangement;さくらん;6483;99.94481938;0.00033443;;56;V;p4
5913;5913;束縛;restraint,restriction,fetters,yoke,shackles;そくばく;4736;98.22050846;0.00066886;N1;56;V;p4
6246;6246;裁縫;sewing,needlework;さいほう;4736;98.44323753;0.00066886;N2;56;V;p4
3397;3397;ちょう;butterfly;ちょう;3290;95.93435847;0.00133771;N1;56;V;p4
7001;7001;さみしい;lonely,lonesome,solitary,desolate;さびしい;6483;98.77432128;0.00033443;N4;56;V;p4
9994;9994;縛る;to tie,to bind,to fasten;しばる;6483;99.77526437;0.00033443;N2;56;V;p4
3291;3291;あえて;purposely (of something needless, unexpected or seemingly counterproductive, etc.),daringly (doing something),deliberately,intentionally;あえて;3290;95.79256098;0.00133771;N1;57;V;p4
2895;2895;イカ;cuttlefish,squid;いか;2879;95.13139677;0.00167214;;57;V;p4
4371;4371;恐喝;blackmail,extortion,threat (to extort money);きょうかつ;3866;97.06773505;0.00100328;;57;V;p4
8620;8620;堕落;depravity,corruption,degradation;だらく;6483;99.31576026;0.00033443;;57;V;p4
4834;4834;カエデ;maple (tree) (Acer spp.);かえで;4736;97.49881278;0.00066886;;57;V;p4
9257;9257;敢行;decisive action,going through with,daring to do,carrying out;かんこう;6483;99.52879091;0.00033443;;57;V;p4
6796;6796;かもす;to brew (sake, etc.);かもす;6483;98.70576353;0.00033443;;57;V;p4
10469;10469;酵母;yeast,leaven;こうぼ;6483;99.93411768;0.00033443;;57;V;p4
9599;9599;漬ける;to soak (in),to steep,to dip,to dunk;つける;6483;99.64316529;0.00033443;N4;57;V;p4
2938;2938;こん;navy blue,deep blue;こん;2879;95.2032988;0.00167214;N2;57;V;p4
9506;9506;水槽;water tank,cistern;すいそう;6483;99.61206349;0.00033443;;57;V;p4
9797;9797;盲目;blindness;もうもく;6483;99.70938204;0.00033443;;57;V;p4
6377;6377;遮る;to interrupt,to obstruct (a view, someone's way, etc.),to block (light, wind, etc.),to intercept,to cut off;さえぎる;4736;98.53085767;0.00066886;N1;57;V;p4
8001;8001;不愉快;unpleasant,disagreeable,displeasing,uncomfortable,unhappy;ふゆかい;6483;99.10874931;0.00033443;;57;V;p4
5786;5786;惜しい;regrettable,disappointing,unfortunate;おしい;4736;98.13556375;0.00066886;N2;57;V;p4
10569;10569;静まる;to become quiet,to quiet down,to quieten down;しずまる;6483;99.96756048;0.00033443;N2;57;V;p4
10037;10037;脊椎;spine,vertebral column;せきつい;6483;99.78964477;0.00033443;;58;V;p4
2787;2787;暁;dawn,daybreak;あかつき;2574;94.92070711;0.00200657;;58;V;p4
6473;6473;鶏肉;chicken meat;とりにく;4736;98.59506786;0.00066886;;58;V;p4
6169;6169;絹;silk;きぬ;4736;98.39173561;0.00066886;N4;58;V;p4
5204;5204;ボケ;fool,idiot;ぼけ;4736;97.74628952;0.00066886;;58;V;p4
7446;7446;ニワトリ;chicken (Gallus gallus domesticus),domestic chicken;にわとり;6483;98.92314175;0.00033443;;58;V;p4
9098;9098;戯れる;to be playful,to gambol,to be amused (with something),to play,to sport,to frolic,to joke;たわむれる;6483;99.47561685;0.00033443;;58;V;p4
5933;5933;楽譜;score,sheet music;がくふ;4736;98.23388559;0.00066886;N1;58;V;p4
8525;8525;呆け;fool,idiot;ぼけ;6483;99.28398959;0.00033443;;58;V;p4
5836;5836;拍子;(musical) time,tempo,beat,rhythm;ひょうし;4736;98.16900655;0.00066886;;58;V;p4
2762;2762;憤慨;indignation,resentment;ふんがい;2574;94.87054291;0.00200657;N1;58;V;p4
10412;10412;遊戯;game,play,sports;ゆうぎ;6483;99.91505528;0.00033443;;58;V;p4
9898;9898;窃盗;theft,stealing,larceny;せっとう;6483;99.74315927;0.00033443;;58;V;p4
6867;6867;くちる;to rot,to decay;くちる;6483;98.72950792;0.00033443;N1;58;V;p4
5807;5807;戯曲;drama,play;ぎきょく;4736;98.14960972;0.00066886;N1;58;V;p4
5225;5225;ミサキ;cape (on coast);みさき;4736;97.7603355;0.00066886;N2;59;V;p4
10650;10650;魂胆;ulterior motive,plot,scheme;こんたん;6483;99.99464915;0.00033443;;59;V;p4
3962;3962;こらえる;to bear,to stand,to endure,to put up with;たえる;3866;96.65739186;0.00100328;N2;59;V;p4
7326;7326;でこぼこ;unevenness,roughness,ruggedness,bumpiness;でこぼこ;6483;98.88301039;0.00033443;N2;59;V;p4
8199;8199;侮辱;insult,affront,slight,contempt (e.g. of court);ぶじょく;6483;99.17496606;0.00033443;N1;59;V;p4
3805;3805;詠む;to compose (a Japanese poem),to write,to use as the theme of a poem;よむ;3290;96.48014501;0.00133771;;59;V;p4
8416;8416;卑屈;menial,meanness,servility,abject;ひくつ;6483;99.24753694;0.00033443;;59;V;p4
8307;8307;凹む;to be dented,to be indented,to yield,to give,to sink,to collapse,to cave in;へこむ;6483;99.21108428;0.00033443;N2;59;V;p4
2725;2725;堪える;to bear,to stand,to endure,to put up with;たえる;2574;94.79629989;0.00200657;N2;59;V;p4
4746;4746;あなどる;to disdain,to look down on,to make light of,to hold in contempt,to scorn,to despise;あなどる;4736;97.43995345;0.00066886;;59;V;p4
8198;8198;侮る;to disdain,to look down on,to make light of,to hold in contempt,to scorn,to despise;あなどる;6483;99.17463163;0.00033443;;59;V;p4
5708;5708;崇高;lofty,sublime,noble;すうこう;4736;98.08339297;0.00066886;;59;V;p4
584;584;とりあえず;first of all,at once,right away;とりあえず;582;83.58827897;0.01571812;N1;59;V;p4
8432;8432;危篤;critical condition,being on the verge of death;きとく;6483;99.25288779;0.00033443;;59;V;p4
9598;9598;漬け;pickled (something);づけ;6483;99.64283087;0.00033443;;59;V;p4
5530;5530;叔父;uncle;おじ;4736;97.9643366;0.00066886;;59;V;p4
5798;5798;憧れ;yearning,longing,aspiration,adoration,admiration;あこがれ;4736;98.14359002;0.00066886;N1;59;V;p4
2832;2832;耐える;to bear,to stand,to endure,to put up with;たえる;2574;95.01100268;0.00200657;N2;59;V;p4
1425;1425;おじ;uncle;おじ;1421;90.80256038;0.00468199;;59;V;p4
5638;5638;大胆;bold,daring,audacious;だいたん;4736;98.03657305;0.00066886;N1;59;V;p4
10327;10327;軽蔑;scorn,disdain,contempt;けいべつ;6483;99.8866289;0.00033443;N1;59;V;p4
6192;6192;肝;liver,innards;きも;4736;98.40711929999999;0.00066886;;59;V;p4
8230;8230;偽装;camouflage,disguise;ぎそう;6483;99.18533332;0.00033443;;59;V;p4
1768;1768;憧れる;to long for,to yearn after,to admire,to be attracted by;あこがれる;1687;92.22588607;0.00367871;N2;59;V;p4
7783;7783;めす;female (animal, plant);めす;6483;99.035844;0.00033443;N1;59;V;p4
6160;6160;紡ぐ;to spin,to make yarn;つむぐ;4736;98.38571591;0.00066886;;59;V;p4
10101;10101;落胆;discouragement,despondency,dejection,disappointment;らくたん;6483;99.81104816;0.00033443;;59;V;p4
2278;2278;湧く;to well (up),to gush forth (of water),to spring out,to surge;わく;2125;93.78432068;0.00267542;N2;60;V;p4
2897;2897;イタズラ;mischief,prank,trick,practical joke;いたずら;2879;95.13474105;0.00167214;N3;60;V;p4
6820;6820;きつね;fox (esp. the red fox, Vulpes vulpes);きつね;6483;98.71378981;0.00033443;;60;V;p4
8409;8409;匿名;anonymity,using an assumed name;とくめい;6483;99.24519594;0.00033443;;60;V;p4
1446;1446;ようやく;finally,at last;ようやく;1421;90.90088222;0.00468199;N2;60;V;p4
940;940;うるさい;noisy,loud;うるさい;941;87.70207814;0.008360700000000002;N1;60;V;p4
6620;6620;うた;song;うた;6483;98.6469042;0.00033443;N5;60;V;p4
6621;6621;うたう;to sing;うたう;6483;98.64723863;0.00033443;N5;60;V;p4
10472;10472;醜聞;scandal;しゅうぶん;6483;99.93512096;0.00033443;;60;V;p4
5469;5469;分泌;secretion;ぶんぴつ;4736;97.92353638;0.00066886;;60;V;p4
9062;9062;悪戯;mischief,prank,trick,practical joke;いたずら;6483;99.46357744;0.00033443;N3;60;V;p4
1648;1648;歌;song;うた;1573;91.77206723;0.00401314;N5;60;V;p4
10483;10483;野蛮;savage,barbarous,barbaric,uncivilized,uncivilised;やばん;6483;99.93879967;0.00033443;;60;V;p4
471;471;キツネ;fox (esp. the red fox, Vulpes vulpes);きつね;471;81.51850390000001;0.02140339;;60;V;p4
5655;5655;妄想;wild idea,delusion;もうそう;4736;98.0479436;0.00066886;;60;V;p4
5938;5938;歌う;to sing;うたう;4736;98.23722987;0.00066886;N5;60;V;p4
3369;3369;したう;to yearn for,to long for,to pine for,to miss,to love dearly,to adore;したう;3290;95.89690253;0.00133771;N1;60;V;p4
2595;2595;キツ;fox (esp. the red fox, Vulpes vulpes);きつね;2574;94.53544603;0.00200657;;60;V;p4
